question_id,subject,topic,question,difficulty,option_a,option_b,option_c,option_d,correct_answer,explanation
Q0502A,Software Engineering,Agile,Which statement best describes Agile?,Easy,Agile development uses iterative delivery and frequent feedback,Agile prohibits customer feedback,Agile requires one final delivery only,Agile eliminates planning entirely,A,Agile development uses iterative delivery and frequent feedback.
Q0502B,Software Engineering,Agile,"In a practical problem involving Agile, which principle should guide your solution?",Medium,Agile prohibits customer feedback,Agile requires one final delivery only,Agile development uses iterative delivery and frequent feedback,Agile eliminates planning entirely,C,Agile development uses iterative delivery and frequent feedback.
Q0502C,Software Engineering,Agile,Which design decision is most consistent with the core principle of Agile?,Hard,Agile requires one final delivery only,Agile eliminates planning entirely,Agile prohibits customer feedback,Agile development uses iterative delivery and frequent feedback,D,Agile development uses iterative delivery and frequent feedback.
Q0503A,Software Engineering,Waterfall,Which statement best describes Waterfall?,Easy,Waterfall organizes development in sequential phases,Waterfall has no requirements phase,Waterfall is a network protocol,Waterfall requires daily releases,A,Waterfall organizes development in sequential phases.
Q0503B,Software Engineering,Waterfall,"In a practical problem involving Waterfall, which principle should guide your solution?",Medium,Waterfall has no requirements phase,Waterfall is a network protocol,Waterfall organizes development in sequential phases,Waterfall requires daily releases,C,Waterfall organizes development in sequential phases.
Q0503C,Software Engineering,Waterfall,Which design decision is most consistent with the core principle of Waterfall?,Hard,Waterfall is a network protocol,Waterfall requires daily releases,Waterfall has no requirements phase,Waterfall organizes development in sequential phases,D,Waterfall organizes development in sequential phases.
Q0504A,Software Engineering,SRS,Which statement best describes SRS?,Easy,an SRS specifies the software system requirements,an SRS is compiled executable code,an SRS replaces all tests,an SRS only lists developer salaries,A,An srs specifies the software system requirements.
Q0504B,Software Engineering,SRS,"In a practical problem involving SRS, which principle should guide your solution?",Medium,an SRS is compiled executable code,an SRS replaces all tests,an SRS specifies the software system requirements,an SRS only lists developer salaries,C,An srs specifies the software system requirements.
Q0504C,Software Engineering,SRS,Which design decision is most consistent with the core principle of SRS?,Hard,an SRS replaces all tests,an SRS only lists developer salaries,an SRS is compiled executable code,an SRS specifies the software system requirements,D,An srs specifies the software system requirements.
Q0505A,Software Engineering,Testing,Which statement best describes Testing?,Easy,unit testing verifies a small testable component in isolation,unit testing always tests production infrastructure,unit tests require a complete UI,unit testing never uses assertions,A,Unit testing verifies a small testable component in isolation.
Q0505B,Software Engineering,Testing,"In a practical problem involving Testing, which principle should guide your solution?",Medium,unit testing always tests production infrastructure,unit tests require a complete UI,unit testing verifies a small testable component in isolation,unit testing never uses assertions,C,Unit testing verifies a small testable component in isolation.
Q0505C,Software Engineering,Testing,Which design decision is most consistent with the core principle of Testing?,Hard,unit tests require a complete UI,unit testing never uses assertions,unit testing always tests production infrastructure,unit testing verifies a small testable component in isolation,D,Unit testing verifies a small testable component in isolation.
Q0506A,Software Engineering,UML,Which statement best describes UML?,Easy,a UML class diagram models classes and their relationships,UML only models database backups,UML is an executable language,UML cannot show associations,A,A uml class diagram models classes and their relationships.
Q0506B,Software Engineering,UML,"In a practical problem involving UML, which principle should guide your solution?",Medium,UML only models database backups,UML is an executable language,a UML class diagram models classes and their relationships,UML cannot show associations,C,A uml class diagram models classes and their relationships.
Q0506C,Software Engineering,UML,Which design decision is most consistent with the core principle of UML?,Hard,UML is an executable language,UML cannot show associations,UML only models database backups,a UML class diagram models classes and their relationships,D,A uml class diagram models classes and their relationships.
Q0507A,Software Engineering,Git/Version Control,Which statement best describes Git/Version Control?,Easy,a commit records a snapshot of staged changes in Git,a commit permanently deletes a repository,a commit is a network packet,a commit cannot have a message,A,A commit records a snapshot of staged changes in git.
Q0507B,Software Engineering,Git/Version Control,"In a practical problem involving Git/Version Control, which principle should guide your solution?",Medium,a commit permanently deletes a repository,a commit is a network packet,a commit records a snapshot of staged changes in Git,a commit cannot have a message,C,A commit records a snapshot of staged changes in git.
Q0507C,Software Engineering,Git/Version Control,Which design decision is most consistent with the core principle of Git/Version Control?,Hard,a commit is a network packet,a commit cannot have a message,a commit permanently deletes a repository,a commit records a snapshot of staged changes in Git,D,A commit records a snapshot of staged changes in git.
Q0508A,Software Engineering,Software Quality,Which statement best describes Software Quality?,Easy,maintainability measures how easily software can be modified,maintainability means no documentation,maintainability is only runtime speed,maintainability forbids refactoring,A,Maintainability measures how easily software can be modified.
Q0508B,Software Engineering,Software Quality,"In a practical problem involving Software Quality, which principle should guide your solution?",Medium,maintainability means no documentation,maintainability is only runtime speed,maintainability measures how easily software can be modified,maintainability forbids refactoring,C,Maintainability measures how easily software can be modified.
Q0508C,Software Engineering,Software Quality,Which design decision is most consistent with the core principle of Software Quality?,Hard,maintainability is only runtime speed,maintainability forbids refactoring,maintainability means no documentation,maintainability measures how easily software can be modified,D,Maintainability measures how easily software can be modified.
Q0509A,Software Engineering,Project Management,Which statement best describes Project Management?,Easy,a work breakdown structure decomposes project work into smaller tasks,a WBS is a source-code compiler,a WBS removes project scope,a WBS is a database index,A,A work breakdown structure decomposes project work into smaller tasks.
Q0509B,Software Engineering,Project Management,"In a practical problem involving Project Management, which principle should guide your solution?",Medium,a WBS is a source-code compiler,a WBS removes project scope,a work breakdown structure decomposes project work into smaller tasks,a WBS is a database index,C,A work breakdown structure decomposes project work into smaller tasks.
Q0509C,Software Engineering,Project Management,Which design decision is most consistent with the core principle of Project Management?,Hard,a WBS removes project scope,a WBS is a database index,a WBS is a source-code compiler,a work breakdown structure decomposes project work into smaller tasks,D,A work breakdown structure decomposes project work into smaller tasks.
Q0510A,Software Engineering,Design Patterns,Which statement best describes Design Patterns?,Easy,the Observer pattern notifies dependent objects about state changes,Observer stores rows in a database,Observer guarantees a singleton,Observer is a network routing algorithm,A,The observer pattern notifies dependent objects about state changes.
Q0510B,Software Engineering,Design Patterns,"In a practical problem involving Design Patterns, which principle should guide your solution?",Medium,Observer stores rows in a database,Observer guarantees a singleton,the Observer pattern notifies dependent objects about state changes,Observer is a network routing algorithm,C,The observer pattern notifies dependent objects about state changes.
Q0510C,Software Engineering,Design Patterns,Which design decision is most consistent with the core principle of Design Patterns?,Hard,Observer guarantees a singleton,Observer is a network routing algorithm,Observer stores rows in a database,the Observer pattern notifies dependent objects about state changes,D,The observer pattern notifies dependent objects about state changes.
